#NUMBER OF AGES= 1 MAGS= 7
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2457 4.1669E-04 2.1210E-04  -1.90   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: PanSTARRS (AB)
#----------------------------------------------------       
#AGE=12.500 EEPS=266
#EEP   M/Mo    LogTeff  LogG   LogL/Lo open    gp1     rp1     ip1     zp1     yp1     wp1
 240  0.799715  3.6943  2.0172  2.0542 -0.3806  0.2102 -0.3312 -0.5765 -0.6803 -0.7362 -0.2843
 241  0.799766  3.6924  1.9718  2.0922 -0.4737  0.1268 -0.4224 -0.6716 -0.7778 -0.8351 -0.3755
 242  0.799815  3.6910  1.9362  2.1220 -0.5468  0.0616 -0.4940 -0.7462 -0.8544 -0.9127 -0.4471
 243  0.799862  3.6907  1.9273  2.1299 -0.5659  0.0438 -0.5127 -0.7655 -0.8741 -0.9327 -0.4659
 244  0.799910  3.6900  1.9076  2.1468 -0.6071  0.0064 -0.5531 -0.8075 -0.9170 -0.9762 -0.5064
 245  0.799957  3.6876  1.8513  2.1936 -0.7217 -0.0943 -0.6650 -0.9247 -1.0374 -1.0984 -0.6184
 246  0.800000  3.6852  1.7951  2.2402 -0.8357 -0.1937 -0.7762 -1.0417 -1.1574 -1.2203 -0.7297
 247  0.800037  3.6829  1.7416  2.2844 -0.9439 -0.2877 -0.8818 -1.1527 -1.2714 -1.3362 -0.8353
 248  0.800071  3.6806  1.6881  2.3286 -1.0518 -0.3811 -0.9868 -1.2633 -1.3849 -1.4516 -0.9405
 249  0.800102  3.6783  1.6350  2.3725 -1.1584 -0.4733 -1.0906 -1.3726 -1.4972 -1.5660 -1.0445
 250  0.800129  3.6760  1.5852  2.4135 -1.2575 -0.5587 -1.1870 -1.4742 -1.6017 -1.6724 -1.1410
 251  0.800154  3.6738  1.5361  2.4539 -1.3549 -0.6420 -1.2815 -1.5742 -1.7045 -1.7771 -1.2359
 252  0.800178  3.6717  1.4882  2.4931 -1.4494 -0.7222 -1.3732 -1.6713 -1.8046 -1.8790 -1.3278
 253  0.800199  3.6694  1.4407  2.5317 -1.5419 -0.7995 -1.4625 -1.7664 -1.9027 -1.9792 -1.4175
 254  0.800219  3.6672  1.3940  2.5694 -1.6318 -0.8739 -1.5492 -1.8590 -1.9985 -2.0769 -1.5046
 255  0.800236  3.6650  1.3482  2.6063 -1.7194 -0.9457 -1.6335 -1.9492 -2.0919 -2.1724 -1.5893
 256  0.800253  3.6627  1.3029  2.6427 -1.8055 -1.0157 -1.7163 -2.0380 -2.1840 -2.2665 -1.6725
 257  0.800268  3.6606  1.2589  2.6779 -1.8887 -1.0828 -1.7960 -2.1238 -2.2730 -2.3575 -1.7527
 258  0.800282  3.6584  1.2154  2.7127 -1.9703 -1.1476 -1.8741 -2.2080 -2.3605 -2.4472 -1.8313
 259  0.800294  3.6562  1.1729  2.7465 -2.0496 -1.2101 -1.9497 -2.2898 -2.4456 -2.5344 -1.9075
 260  0.800307  3.6541  1.1311  2.7798 -2.1271 -1.2704 -2.0236 -2.3701 -2.5290 -2.6199 -1.9820
 261  0.800317  3.6519  1.0900  2.8123 -2.2025 -1.3283 -2.0953 -2.4481 -2.6103 -2.7033 -2.0543
 262  0.800328  3.6498  1.0497  2.8442 -2.2762 -1.3841 -2.1651 -2.5245 -2.6901 -2.7851 -2.1249
 263  0.800338  3.6477  1.0103  2.8752 -2.3476 -1.4375 -2.2327 -2.5984 -2.7674 -2.8646 -2.1932
 264  0.800346  3.6457  0.9714  2.9057 -2.4175 -1.4888 -2.2985 -2.6709 -2.8432 -2.9426 -2.2598
 265  0.800355  3.6434  0.9328  2.9357 -2.4856 -1.5372 -2.3625 -2.7417 -2.9176 -3.0191 -2.3244
 266  0.800363  3.6413  0.8949  2.9649 -2.5520 -1.5838 -2.4245 -2.8108 -2.9902 -3.0939 -2.3873
 267  0.800370  3.6392  0.8579  2.9935 -2.6164 -1.6283 -2.4847 -2.8778 -3.0607 -3.1666 -2.4484
 268  0.800377  3.6371  0.8214  3.0216 -2.6797 -1.6715 -2.5436 -2.9437 -3.1301 -3.2381 -2.5082
 269  0.800383  3.6350  0.7857  3.0492 -2.7412 -1.7129 -2.6006 -3.0077 -3.1976 -3.3078 -2.5663
 270  0.800389  3.6331  0.7506  3.0762 -2.8016 -1.7532 -2.6568 -3.0706 -3.2639 -3.3763 -2.6233
 271  0.800395  3.6310  0.7163  3.1026 -2.8604 -1.7920 -2.7112 -3.1318 -3.3285 -3.4430 -2.6789
 272  0.800400  3.6291  0.6829  3.1283 -2.9174 -1.8291 -2.7639 -3.1912 -3.3912 -3.5078 -2.7325
 273  0.800405  3.6273  0.6500  3.1537 -2.9736 -1.8651 -2.8156 -3.2496 -3.4531 -3.5716 -2.7854
 274  0.800410  3.6255  0.6180  3.1785 -3.0281 -1.8996 -2.8658 -3.3063 -3.5131 -3.6338 -2.8365
 275  0.800414  3.6238  0.5869  3.2026 -3.0810 -1.9324 -2.9144 -3.3614 -3.5714 -3.6941 -2.8862
 276  0.800418  3.6220  0.5565  3.2263 -3.1323 -1.9636 -2.9616 -3.4148 -3.6282 -3.7528 -2.9343
 277  0.800422  3.6204  0.5272  3.2489 -3.1817 -1.9933 -3.0070 -3.4663 -3.6827 -3.8093 -2.9806
 278  0.800426  3.6188  0.4996  3.2704 -3.2284 -2.0210 -3.0497 -3.5148 -3.7342 -3.8626 -3.0242
