#NUMBER OF AGES= 1 MAGS= 7
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2457 4.1669E-04 2.1210E-04  -1.90   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: PanSTARRS (AB)
#----------------------------------------------------       
#AGE=12.500 EEPS=266
#EEP   M/Mo    LogTeff  LogG   LogL/Lo open    gp1     rp1     ip1     zp1     yp1     wp1
  63  0.579663  3.7094  4.7082 -0.7160  6.5152  7.0568  6.5479  6.3276  6.2438  6.2021  6.5983
  64  0.584151  3.7125  4.7039 -0.6960  6.4644  6.9933  6.4946  6.2796  6.1988  6.1595  6.5450
  65  0.588567  3.7155  4.6996 -0.6764  6.4147  6.9313  6.4424  6.2325  6.1548  6.1177  6.4928
  66  0.592911  3.7184  4.6951 -0.6570  6.3660  6.8708  6.3916  6.1866  6.1117  6.0768  6.4419
  67  0.597176  3.7212  4.6905 -0.6381  6.3184  6.8120  6.3419  6.1416  6.0695  6.0367  6.3921
  68  0.601365  3.7240  4.6859 -0.6194  6.2719  6.7547  6.2934  6.0976  6.0282  5.9974  6.3435
  69  0.605473  3.7267  4.6812 -0.6011  6.2264  6.6988  6.2459  6.0546  5.9879  5.9590  6.2961
  70  0.609509  3.7293  4.6764 -0.5831  6.1819  6.6441  6.1995  6.0125  5.9482  5.9212  6.2495
  71  0.613478  3.7318  4.6715 -0.5653  6.1382  6.5907  6.1540  5.9711  5.9092  5.8841  6.2039
  72  0.617380  3.7343  4.6665 -0.5477  6.0953  6.5384  6.1094  5.9305  5.8711  5.8476  6.1592
  73  0.621211  3.7367  4.6616 -0.5304  6.0531  6.4872  6.0657  5.8906  5.8335  5.8116  6.1153
  74  0.624973  3.7390  4.6565 -0.5134  6.0118  6.4372  6.0227  5.8514  5.7965  5.7764  6.0723
  75  0.628672  3.7413  4.6514 -0.4966  5.9711  6.3880  5.9806  5.8130  5.7601  5.7415  6.0299
  76  0.632312  3.7435  4.6462 -0.4801  5.9310  6.3399  5.9391  5.7749  5.7242  5.7071  5.9883
  77  0.635885  3.7456  4.6409 -0.4638  5.8917  6.2926  5.8984  5.7377  5.6889  5.6733  5.9474
  78  0.639399  3.7477  4.6355 -0.4476  5.8529  6.2461  5.8583  5.7011  5.6543  5.6400  5.9072
  79  0.642853  3.7497  4.6301 -0.4318  5.8149  6.2001  5.8189  5.6653  5.6205  5.6075  5.8676
  80  0.646249  3.7517  4.6247 -0.4161  5.7776  6.1549  5.7802  5.6301  5.5873  5.5755  5.8287
  81  0.649579  3.7536  4.6192 -0.4007  5.7407  6.1106  5.7421  5.5954  5.5544  5.5440  5.7905
  82  0.654339  3.7564  4.6111 -0.3785  5.6878  6.0475  5.6874  5.5453  5.5069  5.4982  5.7355
  83  0.659076  3.7590  4.6026 -0.3562  5.6346  5.9850  5.6327  5.4947  5.4588  5.4518  5.6806
  84  0.663779  3.7616  4.5938 -0.3339  5.5814  5.9228  5.5780  5.4440  5.4105  5.4052  5.6256
  85  0.668444  3.7642  4.5848 -0.3117  5.5282  5.8608  5.5233  5.3934  5.3622  5.3585  5.5707
  86  0.673062  3.7667  4.5755 -0.2894  5.4751  5.7991  5.4688  5.3428  5.3139  5.3117  5.5159
  87  0.677628  3.7692  4.5661 -0.2671  5.4222  5.7378  5.4145  5.2923  5.2657  5.2649  5.4613
  88  0.682133  3.7716  4.5565 -0.2450  5.3694  5.6769  5.3604  5.2420  5.2176  5.2183  5.4069
  89  0.686570  3.7739  4.5467 -0.2230  5.3169  5.6164  5.3065  5.1919  5.1698  5.1718  5.3529
  90  0.690933  3.7763  4.5369 -0.2010  5.2647  5.5563  5.2531  5.1422  5.1222  5.1256  5.2990
  91  0.695210  3.7786  4.5271 -0.1792  5.2129  5.4966  5.2000  5.0928  5.0749  5.0796  5.2458
  92  0.699391  3.7809  4.5171 -0.1575  5.1614  5.4377  5.1474  5.0437  5.0279  5.0340  5.1928
  93  0.703475  3.7832  4.5071 -0.1360  5.1103  5.3793  5.0951  4.9950  4.9812  4.9886  5.1403
  94  0.707447  3.7853  4.4970 -0.1147  5.0597  5.3214  5.0432  4.9466  4.9349  4.9434  5.0882
  95  0.711301  3.7875  4.4869 -0.0936  5.0095  5.2642  4.9919  4.8987  4.8890  4.8986  5.0366
  96  0.715036  3.7895  4.4764 -0.0726  4.9596  5.2075  4.9410  4.8509  4.8433  4.8539  4.9854
  97  0.718649  3.7916  4.4659 -0.0518  4.9100  5.1515  4.8903  4.8034  4.7976  4.8093  4.9345
  98  0.722145  3.7935  4.4552 -0.0312  4.8606  5.0961  4.8400  4.7561  4.7520  4.7648  4.8839
  99  0.725519  3.7953  4.4442 -0.0107  4.8116  5.0411  4.7901  4.7092  4.7069  4.7205  4.8337
 100  0.728780  3.7972  4.4331  0.0097  4.7631  4.9866  4.7406  4.6626  4.6620  4.6766  4.7840
 101  0.731929  3.7989  4.4216  0.0299  4.7151  4.9325  4.6918  4.6167  4.6179  4.6332  4.7348
 102  0.734973  3.8006  4.4100  0.0500  4.6673  4.8787  4.6432  4.5710  4.5738  4.5898  4.6859
 103  0.737915  3.8022  4.3981  0.0700  4.6197  4.8253  4.5949  4.5254  4.5299  4.5466  4.6372
 104  0.740764  3.8037  4.3860  0.0899  4.5720  4.7723  4.5465  4.4796  4.4857  4.5029  4.5885
 105  0.743525  3.8052  4.3736  0.1098  4.5242  4.7197  4.4979  4.4334  4.4409  4.4588  4.5397
 106  0.746207  3.8066  4.3609  0.1295  4.4763  4.6674  4.4494  4.3871  4.3960  4.4145  4.4910
 107  0.748815  3.8079  4.3480  0.1492  4.4286  4.6156  4.4010  4.3408  4.3510  4.3700  4.4423
 108  0.751352  3.8091  4.3349  0.1687  4.3810  4.5640  4.3527  4.2946  4.3061  4.3254  4.3939
 109  0.753830  3.8103  4.3216  0.1881  4.3335  4.5128  4.3048  4.2486  4.2612  4.2810  4.3457
 110  0.756250  3.8114  4.3081  0.2074  4.2865  4.4621  4.2572  4.2028  4.2166  4.2367  4.2979
 111  0.758621  3.8124  4.2944  0.2267  4.2396  4.4116  4.2099  4.1573  4.1721  4.1926  4.2505
 112  0.759353  3.8127  4.2900  0.2326  4.2250  4.3958  4.1951  4.1430  4.1582  4.1787  4.2356
 113  0.760085  3.8130  4.2856  0.2387  4.2102  4.3799  4.1801  4.1286  4.1441  4.1647  4.2206
 114  0.760815  3.8133  4.2811  0.2448  4.1953  4.3640  4.1650  4.1141  4.1299  4.1507  4.2054
 115  0.761545  3.8136  4.2766  0.2509  4.1803  4.3479  4.1500  4.0995  4.1157  4.1365  4.1903
 116  0.762275  3.8140  4.2720  0.2571  4.1651  4.3317  4.1347  4.0848  4.1012  4.1221  4.1749
 117  0.763004  3.8142  4.2673  0.2634  4.1499  4.3153  4.1193  4.0699  4.0866  4.1075  4.1594
 118  0.763733  3.8145  4.2624  0.2697  4.1343  4.2989  4.1037  4.0548  4.0718  4.0928  4.1437
 119  0.764460  3.8147  4.2575  0.2761  4.1187  4.2824  4.0879  4.0394  4.0567  4.0778  4.1280
 120  0.765184  3.8149  4.2523  0.2826  4.1028  4.2655  4.0719  4.0239  4.0415  4.0625  4.1119
 121  0.765905  3.8151  4.2471  0.2891  4.0868  4.2486  4.0557  4.0081  4.0259  4.0470  4.0956
 122  0.766621  3.8153  4.2417  0.2957  4.0704  4.2315  4.0393  3.9920  4.0101  4.0312  4.0792
 123  0.767333  3.8155  4.2361  0.3023  4.0538  4.2143  4.0227  3.9759  3.9940  4.0151  4.0625
 124  0.768042  3.8157  4.2303  0.3091  4.0371  4.1969  4.0059  3.9593  3.9777  3.9989  4.0456
 125  0.768745  3.8158  4.2244  0.3159  4.0202  4.1794  3.9888  3.9427  3.9611  3.9823  4.0285
 126  0.769442  3.8159  4.2185  0.3229  4.0031  4.1616  3.9717  3.9257  3.9445  3.9656  4.0114
 127  0.770135  3.8160  4.2124  0.3298  3.9858  4.1438  3.9544  3.9087  3.9276  3.9487  3.9940
 128  0.770821  3.8161  4.2061  0.3368  3.9684  4.1259  3.9369  3.8915  3.9104  3.9315  3.9764
 129  0.771503  3.8162  4.1998  0.3438  3.9508  4.1079  3.9193  3.8741  3.8931  3.9141  3.9588
 130  0.772178  3.8163  4.1934  0.3509  3.9331  4.0898  3.9015  3.8565  3.8756  3.8967  3.9410
 131  0.772847  3.8164  4.1867  0.3580  3.9152  4.0717  3.8836  3.8387  3.8579  3.8790  3.9231
 132  0.773510  3.8164  4.1799  0.3652  3.8972  4.0535  3.8656  3.8207  3.8400  3.8610  3.9051
 133  0.774165  3.8163  4.1729  0.3725  3.8790  4.0351  3.8474  3.8026  3.8219  3.8427  3.8868
 134  0.774814  3.8163  4.1658  0.3798  3.8606  4.0167  3.8291  3.7842  3.8034  3.8242  3.8684
 135  0.775456  3.8162  4.1584  0.3871  3.8420  3.9983  3.8104  3.7656  3.7847  3.8055  3.8499
 136  0.776091  3.8161  4.1509  0.3945  3.8232  3.9797  3.7917  3.7467  3.7658  3.7864  3.8312
 137  0.776717  3.8159  4.1432  0.4021  3.8042  3.9610  3.7728  3.7276  3.7465  3.7671  3.8122
 138  0.777337  3.8157  4.1352  0.4095  3.7850  3.9422  3.7536  3.7082  3.7270  3.7474  3.7931
 139  0.777948  3.8155  4.1269  0.4172  3.7654  3.9233  3.7342  3.6885  3.7070  3.7273  3.7738
 140  0.778552  3.8152  4.1185  0.4248  3.7457  3.9043  3.7146  3.6685  3.6867  3.7069  3.7542
 141  0.779146  3.8148  4.1097  0.4327  3.7257  3.8852  3.6947  3.6481  3.6661  3.6861  3.7344
 142  0.779732  3.8144  4.1007  0.4405  3.7054  3.8662  3.6746  3.6275  3.6450  3.6648  3.7143
 143  0.780308  3.8140  4.0913  0.4484  3.6848  3.8469  3.6542  3.6064  3.6235  3.6431  3.6940
 144  0.780875  3.8136  4.0815  0.4564  3.6640  3.8277  3.6335  3.5850  3.6016  3.6210  3.6735
 145  0.781432  3.8130  4.0716  0.4644  3.6428  3.8082  3.6127  3.5632  3.5792  3.5984  3.6527
 146  0.781979  3.8123  4.0611  0.4727  3.6213  3.7889  3.5915  3.5410  3.5564  3.5753  3.6316
 147  0.782515  3.8116  4.0503  0.4809  3.5996  3.7695  3.5701  3.5185  3.5330  3.5517  3.6103
 148  0.783038  3.8107  4.0390  0.4891  3.5777  3.7500  3.5485  3.4956  3.5094  3.5277  3.5889
 149  0.783548  3.8098  4.0273  0.4975  3.5557  3.7306  3.5269  3.4727  3.4856  3.5036  3.5675
 150  0.784047  3.8088  4.0151  0.5059  3.5335  3.7112  3.5052  3.4495  3.4614  3.4789  3.5459
 151  0.784531  3.8077  4.0025  0.5144  3.5111  3.6920  3.4833  3.4259  3.4369  3.4538  3.5241
 152  0.785003  3.8065  3.9892  0.5229  3.4886  3.6729  3.4615  3.4022  3.4119  3.4283  3.5024
 153  0.785461  3.8051  3.9753  0.5314  3.4659  3.6539  3.4394  3.3781  3.3866  3.4022  3.4804
 154  0.785904  3.8036  3.9610  0.5400  3.4428  3.6352  3.4172  3.3537  3.3607  3.3756  3.4584
 155  0.786334  3.8019  3.9459  0.5487  3.4197  3.6168  3.3948  3.3290  3.3344  3.3485  3.4362
 156  0.786750  3.8001  3.9301  0.5573  3.3964  3.5987  3.3724  3.3038  3.3075  3.3206  3.4140
 157  0.787149  3.7980  3.9135  0.5659  3.3729  3.5812  3.3500  3.2782  3.2799  3.2921  3.3918
 158  0.787536  3.7957  3.8960  0.5746  3.3493  3.5642  3.3275  3.2524  3.2519  3.2630  3.3695
 159  0.787908  3.7933  3.8778  0.5832  3.3255  3.5476  3.3050  3.2262  3.2235  3.2333  3.3473
 160  0.788268  3.7907  3.8589  0.5918  3.3017  3.5317  3.2826  3.1998  3.1946  3.2030  3.3251
 161  0.788617  3.7879  3.8396  0.6003  3.2776  3.5163  3.2599  3.1727  3.1649  3.1719  3.3027
 162  0.788930  3.7854  3.8219  0.6082  3.2552  3.5021  3.2389  3.1477  3.1374  3.1432  3.2821
 163  0.789238  3.7824  3.8023  0.6161  3.2322  3.4890  3.2175  3.1216  3.1083  3.1127  3.2611
 164  0.789545  3.7792  3.7813  0.6242  3.2093  3.4763  3.1962  3.0954  3.0790  3.0816  3.2402
 165  0.789848  3.7755  3.7586  0.6322  3.1860  3.4647  3.1750  3.0684  3.0485  3.0490  3.2193
 166  0.790150  3.7718  3.7358  0.6405  3.1619  3.4536  3.1530  3.0402  3.0167  3.0152  3.1978
 167  0.790451  3.7683  3.7138  0.6489  3.1377  3.4414  3.1309  3.0123  2.9854  2.9820  3.1760
 168  0.790746  3.7650  3.6918  0.6576  3.1132  3.4282  3.1084  2.9845  2.9544  2.9490  3.1537
