# File generated by CMD 2.7 (http://stev.oapd.inaf.it/cmd) on Fri Feb 26 16:14:55 CET 2016
# PARSEC isochrones, release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014), MNRAS, 444, 2525 + Tang et al. (2014), MNRAS, 445, 4287 + Chen et al. (2015), MNRAS accepted
# Warning: the TP-AGB phase is not included! TP-AGB tracks are in preparation by Marigo et al.
# Photometric system: Pan-STARRS1
# Using NBC version of bolometric corrections as in Chen et al. (2014), MNRAS, 444, 2525
# BCs of Carbon stars derive from Aringer et al. (2009, A&A 503, 913)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# On RGB, assumed Reimers mass loss with efficiency eta=0.4
# Kind of output: isochrone tables
#	Isochrone  Z = 0.00020	Y = 0.24900	[M/H] = -1.890	eta_R = 0.400	Age = 	1.2500e+10 yr
#      Z	log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	mbol    gP1     rP1     iP1     zP1     yP1     wP1	int_IMF	stage
	0.000200	10.0969	0.69654810	0.6957	-0.1425	3.7845	4.5130	5.126	5.426	5.145	5.046	5.030	5.037	5.190	2.37627625	1
	0.000200	10.0969	0.69999999	0.6991	-0.1234	3.7863	4.5031	5.079	5.374	5.101	5.005	4.991	4.998	5.145	2.37792683	1
	0.000200	10.0969	0.70129144	0.7004	-0.1162	3.7869	4.4992	5.061	5.355	5.084	4.990	4.976	4.984	5.128	2.37853956	1
	0.000200	10.0969	0.70965803	0.7087	-0.0674	3.7910	4.4717	4.938	5.222	4.968	4.882	4.873	4.882	5.011	2.38244700	1
	0.000200	10.0969	0.71792001	0.7168	-0.0164	3.7949	4.4414	4.811	5.085	4.846	4.767	4.761	4.772	4.887	2.38620281	1
	0.000200	10.0969	0.72501665	0.7238	0.0300	3.7982	4.4124	4.695	4.961	4.733	4.661	4.658	4.670	4.774	2.38935065	1
	0.000200	10.0969	0.73189235	0.7306	0.0777	3.8013	4.3811	4.576	4.833	4.616	4.549	4.550	4.563	4.656	2.39233351	1
	0.000200	10.0969	0.73876905	0.7374	0.1288	3.8042	4.3458	4.448	4.698	4.490	4.427	4.431	4.446	4.529	2.39525294	1
	0.000200	10.0969	0.74671561	0.7452	0.1933	3.8073	4.2983	4.287	4.528	4.329	4.272	4.279	4.295	4.367	2.39854980	1
	0.000200	10.0969	0.75000000	0.7484	0.2213	3.8085	4.2769	4.217	4.454	4.259	4.204	4.212	4.229	4.297	2.39988899	1
	0.000200	10.0969	0.75585181	0.7541	0.2756	3.8106	4.2344	4.081	4.312	4.123	4.072	4.083	4.101	4.161	2.40224195	1
	0.000200	10.0969	0.76138282	0.7595	0.3298	3.8122	4.1896	3.946	4.171	3.987	3.939	3.952	3.970	4.024	2.40442753	1
	0.000200	10.0969	0.76517218	0.7631	0.3703	3.8128	4.1534	3.844	4.066	3.885	3.839	3.852	3.870	3.922	2.40590405	1
	0.000200	10.0969	0.76678717	0.7647	0.3890	3.8127	4.1352	3.797	4.019	3.838	3.791	3.804	3.822	3.875	2.40652823	1
	0.000200	10.0969	0.77117455	0.7689	0.4447	3.8111	4.0755	3.658	3.880	3.697	3.648	3.660	3.677	3.734	2.40820861	1
	0.000200	10.0969	0.77424407	0.7718	0.4893	3.8084	4.0217	3.547	3.773	3.583	3.531	3.540	3.556	3.620	2.40937138	1
	0.000200	10.0969	0.77489853	0.7724	0.4996	3.8075	4.0083	3.521	3.748	3.557	3.503	3.512	3.527	3.594	2.40961790	2
	0.000200	10.0969	0.77660167	0.7740	0.5299	3.8041	3.9653	3.445	3.678	3.479	3.420	3.426	3.438	3.516	2.41025734	2
	0.000200	10.0969	0.77840096	0.7757	0.5664	3.7986	3.9078	3.354	3.598	3.384	3.316	3.317	3.327	3.423	2.41092920	2
	0.000200	10.0969	0.77980852	0.7770	0.5998	3.7918	3.8478	3.270	3.531	3.295	3.216	3.209	3.217	3.335	2.41145229	2
	0.000200	10.0969	0.78094089	0.7781	0.6307	3.7839	3.7858	3.193	3.475	3.211	3.117	3.103	3.107	3.253	2.41187167	2
	0.000200	10.0969	0.78209847	0.7791	0.6660	3.7735	3.7097	3.105	3.414	3.116	3.005	2.981	2.980	3.161	2.41229892	2
	0.000200	10.0969	0.78290141	0.7798	0.6942	3.7655	3.6496	3.035	3.364	3.044	2.921	2.889	2.883	3.090	2.41259432	2
	0.000200	10.0969	0.78360057	0.7804	0.7245	3.7580	3.5900	2.959	3.308	2.968	2.833	2.794	2.784	3.014	2.41285110	2
	0.000200	10.0969	0.78427780	0.7810	0.7641	3.7516	3.5248	2.860	3.228	2.870	2.724	2.679	2.665	2.916	2.41309905	2
	0.000200	10.0969	0.78481615	0.7815	0.8040	3.7473	3.4680	2.760	3.141	2.772	2.618	2.569	2.553	2.818	2.41329598	2
	0.000200	10.0969	0.78518802	0.7818	0.8358	3.7447	3.4262	2.680	3.070	2.693	2.536	2.483	2.465	2.739	2.41343188	3
	0.000200	10.0969	0.78527009	0.7818	0.8433	3.7443	3.4168	2.662	3.053	2.674	2.516	2.463	2.445	2.721	2.41346192	3
	0.000200	10.0969	0.78579271	0.7822	0.8940	3.7415	3.3554	2.535	2.934	2.549	2.386	2.331	2.310	2.595	2.41365242	3
	0.000200	10.0969	0.78628469	0.7826	0.9459	3.7392	3.2942	2.405	2.812	2.420	2.254	2.196	2.174	2.466	2.41383171	3
	0.000200	10.0969	0.78674233	0.7829	0.9981	3.7373	3.2347	2.275	2.688	2.291	2.122	2.062	2.038	2.337	2.41399813	3
	0.000200	10.0969	0.78712505	0.7831	1.0446	3.7357	3.1819	2.159	2.578	2.175	2.004	1.942	1.918	2.222	2.41413713	3
	0.000200	10.0969	0.78751534	0.7833	1.0956	3.7340	3.1244	2.031	2.456	2.049	1.875	1.812	1.786	2.096	2.41427875	3
	0.000200	10.0969	0.78787053	0.7835	1.1459	3.7325	3.0681	1.905	2.335	1.924	1.748	1.683	1.656	1.971	2.41440749	3
	0.000200	10.0969	0.78819287	0.7835	1.1956	3.7310	3.0125	1.781	2.216	1.801	1.623	1.556	1.528	1.848	2.41452408	3
